,cafe_name,review,rating
0,사맛디커피실록,(커피가 진짜..너무 맛없어요..),1
0,사맛디커피실록,,5
0,사맛디커피실록,,5
0,사맛디커피실록,,5
0,사맛디커피실록,인테리어는 볼만한데 군데군데 조명 배치랑 강도가 뒤죽박죽ㅋㅋㅋ,3
0,사맛디커피실록,친절해요,5
0,사맛디커피실록,뷰만 좋고 가성비 사망 차라리 이가격이면 스벅을가지...,2
0,사맛디커피실록,,5
0,사맛디커피실록,자리는 특색있고 좋은데 친절도 하고요.. 커피가 정말 맛없네요 향도 없고 맹탕. 원두가 질이 나빠요,2
0,사맛디커피실록,사람이 적은 게 의아한 곳,5
0,사맛디커피실록,방화수류정  보려고 들렸다가 우연히 들어갔는데 ㅋㅋㅋ인테리어가 앤틱함과 약간 조선시대 느낌의 미묘한 조합 ㅋㅋㅋㅋ 달고나 커피와 함께 먹으라고 주신 과자도 센스만점  특히 커피 잘못먹는데 여기는 원두가 좋은걸 쓰셔서 그런지 커알못도 잘마실스있엇어요! 굿,4
0,사맛디커피실록,Super nice,5
0,사맛디커피실록,뷰도 좋고 맛있었어요,5
0,사맛디커피실록,맛있어요,5
0,스타벅스 북수원IC DT점,,5
0,스타벅스 북수원IC DT점,파트너 친절함,5
0,스타벅스 북수원IC DT점,,5
0,스타벅스 북수원IC DT점,평범~~,3
0,스타벅스 북수원IC DT점,ㅠㅠ.11시50분경...남편이 좋아하는스타벅스커피~~드라이브쓰루~좋아서 들어갔다가 낭패봄!차안서 보이지도안았는데ᆢ너무슬프네요스타벅스에서 도리적인 책임은 안져주실까..조언들부탁드려요,1
0,스타벅스 북수원IC DT점,화장실이 가깝고 공간이 넓은 편.직원분들도 친절해서 간간히 이용할 때 기분좋게 다녀갑니다.DT지만 입출입구가 좁아서 운전초보는 좀 힘들 듯하지만 뚜벅이에겐 아주 좋은 위치!근처에 주민분들이 많이 이용하는지 자주 붐비는 편이라고 느껴집니다.,5
0,스타벅스 북수원IC DT점,친절. 깨끗.다만 사람이 많아서 푸드나 md는 일찍 품절됨ㅠ,4
0,스타벅스 북수원IC DT점,1번국도에 이런거 하나 있는 건 좋은 일이죠,4
0,스타벅스 북수원IC DT점,,5
0,스타벅스 북수원IC DT점,직원분들 아주많이 친절하심  덕분에  기분좋은  시간보내고왔습니다,5
0,스타벅스 북수원IC DT점,기본적인 주문도 처리 못합니다. 에스프레소랑 아메리카노 숏 같이 시키면 전부 에스프레소로 주든지 아메리카노 숏으로 줘요. 프라푸치노도 다르게 커스텀해서 주문해도 한 가지로 똑같이 나오니 스타벅스의 장점이 없는 스타벅스입니다.,1
0,스타벅스 북수원IC DT점,드라이브스루 들어가는 차들이 마지막차선 다 막고있어서 다닐때마다 사고날뻔하고 빡침.,1
0,스타벅스 북수원IC DT점,"왕친절 하세요 >,<",5
0,스타벅스 북수원IC DT점,,3
0,스타벅스 북수원IC DT점,장점> 직원분들이 친절함           주차장 있음           우리 집에서 가까움ㅎ단점>  그 외의 모든것..음료가 다른 지점보다 맛이 없고 늘 붐벼서 어수선하고 시끄러움. 스벅 특유의 낮은 책상도 불편하고 콘센트가 몇몇 자리에만 있는것도 불편.. 그리고 붐비는 시간에 가서인지는 모르겠지만 화장실이랑 매장 테이블이 청결하진 않음.,3
0,스타벅스 북수원IC DT점,환기좀 자주하세요 커피 쩐냄새 장난아님,3
0,스타벅스 북수원IC DT점,저는 갈때마다 직원분들이 인사도 잘해주시고 주문받으실때도 너무 친절하게 해주셔서 기분좋게 이용하고 있습니다! ㅎㅎ 집 근처라 더 자주 가게되네요! 1층은 테이블 몇개 없지만 2층은 좀 널널해서 이용하기도 편해요~,5
0,스타벅스 북수원IC DT점,좋아요 맛있게 잘먹고옵니다,5
0,스타벅스 북수원IC DT점,카라멜마끼아또ᆢᆢ하ㅜㅜ 그닥 비추네요,1
0,스타벅스 북수원IC DT점,다 좋은데 주차장이 너무 작아서 차 둘 곳이 없네요..,2
0,스타벅스 북수원IC DT점,,1
0,스타벅스 북수원IC DT점,,5
0,스타벅스 북수원IC DT점,가본 스벅중 맛이 너무 없음.. 케익도... 정말 비추,1
0,스타벅스 북수원IC DT점,남자직원들 사가지가 없네,1
0,스타벅스 북수원IC DT점,직원..겁나 불친절..ㅠㅜㅡ좀 검고좀 장례식장 분위기ㅠㅠㅜㅡ...커피는 겁나 뜨겁고급히 내렸는지 왜 이리 물맛..ㅡㅡ주차장은 너무 좁고드라이브인트루는 좋을듯하나미숙련공인지 입구부터 출구까지 차량이 길게 줄 서 있으니 그나마도 매력이 없어 보이네유ㅠㅠㅜ,1
0,서동진의커피랩 본점,,1
0,서동진의커피랩 본점,커피는 맛있습니다.그러나 컵에서 냄새가 납니다.제대로 세척 부탁합니다.커피는 맛있는데...,3
0,서동진의커피랩 본점,가격에 비해 맛은 그냥그냥,3
0,서동진의커피랩 본점,,1
0,서동진의커피랩 본점,,5
0,서동진의커피랩 본점,,5
0,서동진의커피랩 본점,며칠전 첨갔는데 전 커피도 맛있고 괜찮았어요.,4
0,서동진의커피랩 본점,커피 맛있어요.,5
0,서동진의커피랩 본점,진짜루 후회함........,1
0,서동진의커피랩 본점,이 돈 주고 마실거면 졍지영 가서 두잔 마심..,1
0,서동진의커피랩 본점,가격에 비해 별로에요,1
0,서동진의커피랩 본점,주차장 있어서 들리기 좋은 곳,3
0,서동진의커피랩 본점,,1
0,서동진의커피랩 본점,"다양한 원두는 좋으나, 비싼 가격에 맛은 평범 함.주차하기 편해서 가는 곳.",3
0,서동진의커피랩 본점,,5
0,서동진의커피랩 본점,,1
0,서동진의커피랩 본점,커피 첫 모금 엄청 맛있겠다. 넘어가면서 엥?? 뭐지..ㅜ머핀은 원래 차게 먹는건가..,3
0,서동진의커피랩 본점,넓어서 분위기는 좋으나 빵의 퀄리티가 커피에 비해 떨어집니다...,4
