,cafe_name,review,rating
0,카페디아즈,"일이년 전부터 케이크 먹으러 오던 곳... 💛겨울에는 무조건 딸기케이크, 그 외에는 취향껏 케이크 골라먹으면 되는데 이번엔 두번째로 좋아하는 초코바나나 케이크루...날씨가 쌀쌀해서 안에서 먹었지만 분위기 최고! 커피 맛을 잘 모르지만 쓰거나 시지 않아서 좋았다!",4
0,카페디아즈,매장 예쁨음료 쏘쏘케이크 비주얼 굿 하지만 노맛 맛없다가 아니고 진짜 그냥 노 맛 아무런 맛이 안남 당황스러움,3
0,카페디아즈,평일에가서 그런지 가게가 조용해서 좋았고 딸기 케익은 그냥 그랬어요! 근데 요즘 날씨좋아서야외에서 있으면 좋을 것 같아요,4
0,카페디아즈,,5
0,카페디아즈,"이쁘고 분위기 있음, 루프탑있는 디저트카페",5
0,카페디아즈,"모처럼 데이트하려고 집사람과 갔는데, 너무 불친절하고 주차장 이용도 어렵고 불편했어요. 너무 불쾌해서 다시는 발도 들이기 싫네요",1
0,카페디아즈,맛있어요!,5
0,카페디아즈,커피가 정말 너무x1000000 맛 없음.!!케이크도 많이 느끼했구요. 루프탑 기대 하고 왔는데 처량해보였어요. 사람이 먹고 난 테이블 닦는 직원 하나 없더군요. 화장실도 냄새나고 더러웠어요. 재방문 의사 없어요.,1
0,카페디아즈,카페가 너무 쾌적하고 좋네요다저트도 많고 맛있었어요,5
0,카페디아즈,매장 너무 이쁘고 넓어서 좋아요 !!단체모임하기에도 좋을 것 같아요~매장이 쾌적하고 야외도 잘 되어 있어서 자주 오고 싶어요 ㅎㅎ,5
0,카페디아즈,테라스에서 커피마시기 좋네요 너무 시끄럽지도않아서 얘기하기도 좋아요 딸기케이크 맛집입니다,5
0,카페디아즈,딸기가맛난곳 자몽케이크도맛남,5
0,카페디아즈,커피집인데 커피가 맛이 없어요,2
0,카페디아즈,짱맛!! 자몽 생크림 케이크 짱맛이고 인테리어도 깔끔쓰 & 루프탑 있어서 좋아용,5
0,카페디아즈,둘째 생일 축하 파티 케이크 너무 맛있겠어요. 기대됩니다.,5
0,카페디아즈,"수원시청역 근처에 예쁘고 큰 카페가 많은데여기 디아즈 참 좋네요~도시뷰도 멋지고, 야외 공간이 편하구요.직원들도 친절합니다.또 와야겠어요~~~",5
0,카페디아즈,딸기가 신선하고 맛있었어요,4
0,카페디아즈,,4
0,카페디아즈,공간도 넓고 다른 메뉴는 괜찮은데 생크림 딸기케이크는 별로. 흔한 맛에 크림은 기름맛 남,3
0,카페디아즈,네이버로 설날 케익예약하고 픽업했어요.핸섬하신 직원분 한분만 있었는데친절하고 센스있게 응대해줘서 너무 만족스러웠어요.케익도 맛있었고 커피도 구수하니 맛있더라고요.번창하세요~,5
0,카페디아즈,제가 먹은 초코딸기케이크 중에서 제일 맛있어요!!!!뷰가 좋은 편은 아니지만 내부 인테리어가 이쁘고트여있어서 답답하지 않아용보통 디저트로 유명한 카페들은 커피맛이 별로던데여기는 커피맛도 괜찮았어요!,5
0,카페디아즈,가격대비 퀄리티 낮은편인테리어 촌스러움매장 매우 넓어서 편하게 앉았다 갈 수 있음,3
0,카페디아즈,Not bad,3
0,카페디아즈,,5
0,카페디아즈,,4
0,카페디아즈,,1
0,카페디아즈,,4
0,카페디아즈,커피는 평균 정도입니다.산미 없는 맛입니다.팥빙수와 케이크는 매우 괜찮아요.많이 달지 않았고 끝까지 잘 먹게 되네요.분위기 좋지만 의자는 다소 허리가 아프네요.바람 잘 통하고 매우 시원하니 좋습니다.,4
0,카페디아즈,,5
0,카페디아즈,,5
0,카페디아즈,어른들이 먹기에도 적당히 달아서 좋다구 하시네요 맛있습니다!!,5
0,카페디아즈,역시 루프탑카페답게 넓고 좋아요!! 커피랑 크로플대박이에요!! 나중에 또오고 싶어요! 크로플은 꼭드셔보세요! 최고에요!!,5
0,카페디아즈,직원분들 너무 친절해서 또 오게 되는 곳...가족들 생일때마다 여기서 케익 사가는데 케익 너어어어어무 맛있습니다!! 과일 진짜 많이 들어가고 재료를 아낌없이 넣는 닉낌... 그리고 루크? 라는 매니저님이 아메리카노 서비스도 주셨어요ㅠㅠ 디아즈 최고 다음에 또 올게요!!,5
0,카페디아즈,카페 분위기 무엇..? 디아즈 시그니처가 티라미수라길래 요즘 딸기도 철이라 딸기티라미수를 먹었는데 말뭐말뭐.. 재방문 무조건합니다!!,5
